x coord,y coord,brightness
167.0685014924333,159.08349575230605,5.786042240587695
58.998206406052425,123.87840840910425,5.340909090909091
567.1631273320502,431.50128803459484,4.615112160566706
48.993843824292355,106.80533497991081,4.186776859504133
795.7809472756752,308.01070580345646,3.4807162534435263
425.35014627520496,380.80251514070665,3.0
140.67466144734485,242.82587023583238,2.6611570247933884
84.96440564137005,10.010073875083949,2.5371900826446283
262.9708846584546,162.8689809630459,2.487603305785124
30.92439024390244,87.77560975609757,2.4132231404958677
297.03826530612247,392.0688775510204,2.347107438016529
